platform,operation,i,tx_hash,gas_used,latency_ms,success,error
Kaleido-EVM,IssueAnchor,0,0x050df63a31b599050454b36d759cfa8d1cf9d99b75bba6e1aab43b31290dc940,155728,9388,true,
Kaleido-EVM,Attest,0,0xee8d9025d42e52727067327f32895cf3eac82f48a393f21d0c5d00182b14a72d,34307,4321,true,
Kaleido-EVM,Revoke,0,0x2c416dda14e58968b043a28743b19c8e009c4198fa4621c1a9bf58a0e58b13aa,63469,5087,true,
Kaleido-EVM,IssueAnchor,1,0x679f393c7473a198b7964ec6e1496bf13e6c3ca36caa141c68634b94ef1cff13,155740,4316,true,
Kaleido-EVM,IssueAnchor,2,0x8acb8af68c051df35fb5583ccbf9857158f9583d0b2773e3487b48027731c159,155740,5055,true,
Kaleido-EVM,Attest,2,0xf80b5c9acb6b46850c0cdb4b68e8a70ed4452e7651852b6f7db06eb2f523b4a3,34307,5135,true,
Kaleido-EVM,Issue/Attest/Revoke,3,,,,false,other side closed
Kaleido-EVM,IssueAnchor,4,0x71b8faa369014c4e0354e7984e461afc6107657f54da13ab82133b96747a417f,155728,9935,true,
Kaleido-EVM,Attest,4,0xa17ec7cee10e8040c8ca4b305d6942fcd2c468ef2f489994363bffca791f59bb,34307,4676,true,
Kaleido-EVM,IssueAnchor,5,0xf2ab45284e532ce5a9ed180bb52da51c05077cb712d68d5cba9bd5bd9b7fd5dc,155740,4975,true,
Kaleido-EVM,IssueAnchor,6,0xe4b633c3059c1658c273d50c3382ca869086403f51aac74f62ee6b77e805eb45,155740,4978,true,
Kaleido-EVM,Attest,6,0xa885c1b6bf236eca7fa16a28dd3ea4d442a20f7ec7e0045b5c86d3cdfba080da,34307,4988,true,
Kaleido-EVM,IssueAnchor,7,0xc955d62cf6834dbbec90e14b14ebd72e23492a788ce5ad9b5dd8c83d66a01807,155740,4998,true,
Kaleido-EVM,IssueAnchor,8,0x92291adeafafad1c960bc971b205c252fd10b3a73a66a6515658c0eb955c89a8,155740,4988,true,
Kaleido-EVM,Attest,8,0x7b0308fa1982248a843a4b191a3c94da4b7113f1f70f3aa8e7aa3bcb17a3a56f,34307,4989,true,
Kaleido-EVM,IssueAnchor,9,0x6c56e920eff6071d19aded07deaf1253b26d084350e998f9810b73ffdddfcbd4,155740,4975,true,
Kaleido-EVM,IssueAnchor,10,0xf22855f89a06a0506e71f241030ba7fde57faa4ed9a29e2f2ba7d859a84b2978,155740,4974,true,
Kaleido-EVM,Attest,10,0x2ec207e19ddb8d69839aa7057ab793559a4c3a51cba086dd4a01d21991eb573e,34307,4972,true,
Kaleido-EVM,Revoke,10,0xccf0ed76ccce2a58918b3b8428f67450eb3741137545e9ab98f20d1be63cdd8c,63469,4991,true,
Kaleido-EVM,IssueAnchor,11,0x2a2bd076b7cd75cb90e0526d11ac24732edc2ea12b4f2e314e0a107002e7333f,155740,4982,true,
Kaleido-EVM,IssueAnchor,12,0x0b7161d84f54b9d047978032bc0c72d6ef9d43db3d96295c9b6b489a4f50bac6,155740,4973,true,
Kaleido-EVM,Attest,12,0x1a07f6014db82378632864136f3a048afca4a5b43adc2f070d64ade7709a4325,34307,4973,true,
Kaleido-EVM,IssueAnchor,13,0x46dd15879891bc385439afa304f7e84b3fac68c5cd202eb221002bc98c188431,155728,4972,true,
Kaleido-EVM,IssueAnchor,14,0x91eda2f5c5ce8ce03ded292cd22ff14145951cd9b0b407889da3a0c41bd94d6f,155740,4976,true,
Kaleido-EVM,Attest,14,0xb596de9fbb6fdc917fe7971dfaa4275b633f50ce7e6406cde8984d61ccd75881,34307,4978,true,
Kaleido-EVM,IssueAnchor,15,0x8c00188489cd18e370749d50814ac19087f4211b87f0bd3741cfca5d7d9c243f,155728,4974,true,
Kaleido-EVM,IssueAnchor,16,0x4c0125e22359ec1a9a100fcbec89a84d8a45a21e70e8fad65718e97eba7baa91,155716,4973,true,
Kaleido-EVM,Attest,16,0x3e660999d3d3444136bf7d4e6cbaf0cb8b28b0c1c58ccd21029237129bf907cd,34295,4975,true,
